mes,paro_servicios
2009-01-01,1936296
2009-02-01,2017144
2009-03-01,2075035
2009-04-01,2086939
2009-05-01,2073610
2009-06-01,2041758
2009-07-01,2027873
2009-08-01,2075678
2009-09-01,2140158
2009-10-01,2202605
2009-11-01,2240863
2009-12-01,2241065
2010-01-01,2343195
2010-02-01,2388615
2010-03-01,2398741
2010-04-01,2385001
2010-05-01,2338621
2010-06-01,2290353
2010-07-01,2245857
2010-08-01,2283950
2010-09-01,2337535
2010-10-01,2386591
2010-11-01,2402348
2010-12-01,2371939
2011-01-01,2477019
2011-02-01,2516588
2011-03-01,2531424
2011-04-01,2482420
2011-05-01,2447807
2011-06-01,2407407
2011-07-01,2378475
2011-08-01,2416182
2011-09-01,2490772
2011-10-01,2576206
2011-11-01,2624994
2011-12-01,2612529
2012-01-01,2745110
2012-02-01,2804340
2012-03-01,2819402
2012-04-01,2811098
2012-05-01,2805203
2012-06-01,2752549
2012-07-01,2754050
2012-08-01,2796441
2012-09-01,2882154
2012-10-01,2979764
2012-11-01,3042930
2012-12-01,2993492
2013-01-01,3102474
2013-02-01,3142262
2013-03-01,3126440
2013-04-01,3108033
2013-05-01,3046697
2013-06-01,2956548
2013-07-01,2918934
2013-08-01,2929677
2013-09-01,2981662
2013-10-01,3050532
2013-11-01,3059016
2013-12-01,2971763
2014-01-01,3071282
2014-02-01,3067530
2014-03-01,3046322
2014-04-01,2961616
2014-05-01,2896348
2014-06-01,2812743
2014-07-01,2800225
2014-08-01,2815386
2014-09-01,2856994
2014-10-01,2918218
2014-11-01,2927158
2014-12-01,2861883
2015-01-01,2938627
2015-02-01,2938404
2015-03-01,2889380
2015-04-01,2816496
2015-05-01,2747670
2015-06-01,2685783
2015-07-01,2641480
2015-08-01,2664356
2015-09-01,2707511
2015-10-01,2768583
2015-11-01,2767128
2015-12-01,2705792
2016-01-01,2772921
2016-02-01,2763168
2016-03-01,2708739
2016-04-01,2657932
2016-05-01,2579526
2016-06-01,2494766
2016-07-01,2443491
2016-08-01,2461922
2016-09-01,2501190
2016-10-01,2535953
2016-11-01,2563637
2016-12-01,2497739
2017-01-01,2564668
2017-02-01,2550930
2017-03-01,2510997
2017-04-01,2414325
2017-05-01,2343331
2017-06-01,2268230
2017-07-01,2250574
2017-08-01,2292133
2017-09-01,2321734
2017-10-01,2372719
2017-11-01,2395767
2017-12-01,2344487
2018-01-01,2416955
2018-02-01,2401822
2018-03-01,2348917
2018-04-01,2291310
2018-05-01,2237768
2018-06-01,2171070
2018-07-01,2154891
2018-08-01,2194649
2018-09-01,2223594
2018-10-01,2266813
2018-11-01,2274905
2018-12-01,2231031
2019-01-01,2316615
2019-02-01,2309034
2019-03-01,2276633
2019-04-01,2195559
2019-05-01,2140797
2019-06-01,2089045
2019-07-01,2090576
2019-08-01,2136283
2019-09-01,2160702
2019-10-01,2232620
2019-11-01,2256554
2019-12-01,2214867
